日期,产气量(104m3/d),产水量/m3/d,井底流压/MPa,地层压力/MPa,累积产气量/104m3
2014/11/12,68.96996751,6896.996751,71.59122293,74.24614616,68.96996751
2014/11/13,93.75856365,9375.856365,73.8956502,74.23520824,162.7285312
2014/11/14,96.75087526,9675.087526,73.60686386,74.2242054,259.4794064
2014/11/15,96.82307554,9682.307554,73.53073828,74.21322033,356.302482
2014/11/16,96.84457562,9684.457562,73.53308574,74.20224021,453.1470576
2014/11/17,99.92148756,9992.148756,73.52829939,74.19123123,553.0685451
2014/11/18,99.16668463,9916.668463,73.55885596,74.18017627,652.2352298
2014/11/19,97.88067964,9788.067964,73.57333746,74.16918067,750.1159094
2014/11/20,98.01858018,9801.858018,73.5780706,74.15820521,848.1344896
2014/11/21,99.41928561,9941.928561,73.59760192,74.14720078,947.5537752
2014/11/22,99.77108697,9977.108697,73.64755205,74.13619362,1047.324862
2014/11/23,99.73578684,9973.578684,73.66453717,74.12520146,1147.060649
2014/11/24,100.56009,10056.009,73.73653891,74.1142068,1247.620739
2014/11/25,101.7062945,10170.62945,73.73098586,74.10319022,1349.327034
2014/11/26,102.3026968,10230.26968,73.78898799,74.09216202,1451.62973
2014/11/27,93.21016153,9321.016153,72.50399758,74.08146808,1544.839892
2014/11/28,100.6803905,10068.03905,74.08511221,74.0704579,1645.520282
2014/11/29,100.7174906,10071.74906,74.03697387,74.05945425,1746.237773
2014/11/30,100.4711897,10047.11897,74.030082,74.04849346,1846.708963
2014/12/1,103.0905998,10309.05998,74.0575774,74.03744615,1949.799563
2014/12/2,101.4429935,10144.29935,74.04608555,74.02641292,2051.242556
2014/12/3,101.2506927,10125.06927,74.03466014,74.01541334,2152.493249
2014/12/4,100.2468888,10024.68888,74.02573758,74.00440509,2252.740137
2014/12/5,98.74508299,9874.508299,73.97310864,73.99341483,2351.48522
2014/12/6,98.54218221,9854.218221,73.95061503,73.98246277,2450.027403
2014/12/7,98.77888312,9877.888312,73.96637698,73.97149429,2548.806286
2014/12/8,98.67828273,9867.828273,73.94473103,73.96077702,2647.484569
2014/12/9,99.5964863,9959.64863,73.90033877,73.9498034,2747.081055
2014/12/10,97.77087921,9777.087921,73.92844223,73.93887379,2844.851934
2014/12/11,98.42458175,9842.458175,73.56008674,73.92794724,2943.276516
2014/12/12,98.01148015,9801.148015,73.64022755,73.91704952,3041.287996
2014/12/13,96.63627481,9663.627481,73.64688264,73.90618397,3137.924271
2014/12/14,97.72147902,9772.147902,73.15703932,73.89532143,3235.64575
2014/12/15,97.69447892,9769.447892,73.31146594,73.88448842,3333.340229
2014/12/16,98.09258046,9809.258046,73.4708609,73.87369948,3431.432809
2014/12/17,100.2304888,10023.04888,73.0604837,73.8628163,3531.663298
2014/12/18,101.0873921,10108.73921,73.33593002,73.85191945,3632.75069
2014/12/19,101.4182934,10141.82934,73.47836629,73.84102232,3734.168983
2014/12/20,102.0031956,10200.31956,73.66045628,73.83002518,3836.172179
2014/12/21,100.9783917,10097.83917,73.626999,73.81905602,3937.150571
2014/12/22,99.73718684,9973.718684,73.53898409,73.80811408,4036.887757
2014/12/23,101.0812921,10108.12921,73.71195916,73.79713218,4137.96905
2014/12/24,100.8874913,10088.74913,73.74225459,73.78616178,4238.856541
2014/12/25,101.9539954,10195.39954,73.55023699,73.77517087,4340.810536
2014/12/26,102.860099,10286.0099,73.41444533,73.76415244,4443.670635
2014/12/27,103.2984007,10329.84007,73.4445132,73.75312956,4546.969036
2014/12/28,102.107696,10210.7696,73.515632,73.74217422,4649.076732
2014/12/29,101.9354954,10193.54954,73.35987962,73.73116234,4751.012227
2014/12/30,102.5522978,10255.22978,73.44148854,73.72016581,4853.564525
2014/12/31,103.9471032,10394.71032,73.38459152,73.70913193,4957.511628
2015/1/1,103.1878002,10318.78002,73.49431162,73.6981364,5060.699428
2015/1/2,101.065992,10106.5992,73.36488337,73.68720568,5161.76542
2015/1/3,100.9750916,10097.50916,73.51150411,73.67624181,5262.740512
2015/1/4,100.8605912,10086.05912,73.54034186,73.66533026,5363.601103
2015/1/5,100.7236907,10072.36907,73.50385193,73.65574465,5464.324794
2015/1/6,100.7463908,10074.63908,73.42268944,73.64568118,5565.071185
2015/1/7,101.2624928,10126.24928,73.34546431,73.63563759,5666.333677
2015/1/8,102.0212957,10202.12957,73.46386431,73.62484595,5768.354973
2015/1/9,101.1304922,10113.04922,73.28852652,73.61402802,5869.485465
2015/1/10,101.4241934,10142.41934,73.31165102,73.60326104,5970.909659
2015/1/11,101.0516919,10105.16919,73.46790294,73.5925206,6071.961351
2015/1/12,100.8778913,10087.78913,73.28064455,73.58173115,6172.839242
2015/1/13,100.9871917,10098.71917,73.42915762,73.57098509,6273.826434
2015/1/14,101.0036918,10100.36918,73.30545064,73.56025344,6374.830125
2015/1/15,103.4856014,10348.56014,73.38279149,73.5494431,6478.315727
2015/1/16,104.7774064,10477.74064,73.48232577,73.53916649,6583.093133
2015/1/17,104.945507,10494.5507,73.46047627,73.52822994,6688.03864
2015/1/18,105.3752087,10537.52087,73.42800837,73.51732187,6793.413849
2015/1/19,105.459609,10545.9609,73.42761721,73.50636265,6898.873458
2015/1/20,105.5607094,10556.07094,73.41879805,73.49564387,7004.434167
2015/1/21,104.9483071,10494.83071,73.51295998,73.48447306,7109.382474
2015/1/22,104.9921072,10499.21072,73.42427162,73.47326502,7214.374582
2015/1/23,105.186808,10518.6808,73.40563482,73.46209172,7319.56139
2015/1/24,105.443109,10544.3109,73.38395066,73.45091422,7425.004499
2015/1/25,105.7346101,10573.46101,73.35613256,73.43973225,7530.739109
2015/1/26,106.0200112,10602.00112,73.3693861,73.42855641,7636.75912
2015/1/27,106.0244112,10602.44112,73.36991248,73.41738366,7742.783531
2015/1/28,105.974711,10597.4711,73.34312573,73.40621287,7848.758242
2015/1/29,105.5970096,10559.70096,73.39184708,73.395058,7954.355252
2015/1/30,104.156704,10415.6704,73.32569523,73.38462544,8058.511956
2015/1/31,104.0150034,10401.50034,73.35080158,73.37352469,8162.526959
2015/2/1,103.907703,10390.7703,73.11896861,73.36246661,8266.434662
2015/2/2,102.9480993,10294.80993,72.98581252,73.35143811,8369.382762
2015/2/3,103.0275996,10302.75996,73.00552675,73.3405665,8472.410361
2015/2/4,103.0123995,10301.23995,73.3694425,73.3301184,8575.422761
2015/2/5,103.4437012,10344.37012,73.33612317,73.31934441,8678.866462
2015/2/6,103.2035003,10320.35003,73.31855248,73.30860544,8782.069962
2015/2/7,102.9962995,10299.62995,73.23174427,73.29842863,8885.066262
2015/2/8,103.7214023,10372.14023,73.21196161,73.2876319,8988.787664
2015/2/9,104.0675036,10406.75036,73.29433457,73.27685127,9092.855168
2015/2/10,104.414405,10441.4405,73.18905975,73.26605752,9197.269573
2015/2/11,104.5826056,10458.26056,73.24022095,73.25730123,9301.852178
2015/2/12,104.5264054,10452.64054,73.19184569,73.24746442,9406.378584
2015/2/13,104.5721056,10457.21056,73.19724422,73.23666423,9510.950689
2015/2/14,104.676206,10467.6206,73.1991163,73.22587755,9615.626895
2015/2/15,104.5721056,10457.21056,73.15550763,73.21508907,9720.199001
2015/2/16,104.5714056,10457.14056,73.1554249,73.20432348,9824.770406
2015/2/17,104.8592067,10485.92067,73.06430333,73.1935553,9929.629613
2015/2/18,105.8004104,10580.04104,73.02003238,73.1827941,10035.43002
2015/2/19,105.8186104,10581.86104,73.00136549,73.17203865,10141.24863
2015/2/20,106.0385113,10603.85113,72.98603614,73.16134759,10247.28715
2015/2/21,106.1690118,10616.90118,72.87667009,73.15059142,10353.45616
2015/2/22,106.3972127,10639.72127,72.89371765,73.13983008,10459.85337
2015/2/23,106.5086131,10650.86131,72.84464776,73.12905975,10566.36198
2015/2/24,106.6171135,10661.71135,72.8160833,73.11829527,10672.9791
2015/2/25,106.5003131,10650.03131,72.83323004,73.10754196,10779.47941
2015/2/26,106.3845126,10638.45126,72.78801304,73.09679121,10885.86392
2015/2/27,106.4140127,10641.40127,72.73948413,73.08597061,10992.27793
2015/2/28,106.4203128,10642.03128,72.71940993,73.07514085,11098.69825
2015/3/1,106.3103123,10631.03123,72.6853066,73.06431911,11205.00856
2015/3/2,106.0224112,10602.24112,72.6610571,73.05351868,11311.03097
2015/3/3,105.453009,10545.3009,72.66572553,73.04271395,11416.48398
2015/3/4,105.962911,10596.2911,72.58095251,73.03190894,11522.44689
2015/3/5,105.8536106,10585.36106,72.46358714,73.0211885,11628.3005
2015/3/6,105.5578094,10555.78094,72.57401429,73.01045745,11733.85831
2015/3/7,104.8934068,10489.34068,72.57808206,72.99970293,11838.75172
2015/3/8,104.8355066,10483.55066,72.55032542,72.98894841,11943.58722
2015/3/9,104.7017061,10470.17061,72.53440858,72.97817906,12048.28893
2015/3/10,105.0239073,10502.39073,72.6040596,72.96738444,12153.31284
2015/3/11,103.2698005,10326.98005,72.42789855,72.95666042,12256.58264
2015/3/12,103.2153003,10321.53003,72.41105619,72.94609742,12359.79794
